Gene_IDs	Gene_Symbols	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000138798	EGF	354.0455737	5.877205289	0.586236404	10.02531615	1.17981E-23	2.1274E-21
ENSG00000121270	ABCC11	6210.808537	5.875937394	1.305360211	4.501391528	6.751E-06	7.43239E-05
ENSG00000250431	None	6.471581113	5.868657017	1.508441831	3.890542476	0.00010002	0.000801469
ENSG00000165215	CLDN3	435.9569338	5.85112202	0.594997735	9.833855949	8.04771E-23	1.30381E-20
ENSG00000171195	MUC7	22.46409308	5.848079499	1.110743007	5.265015815	1.40177E-07	2.25578E-06
ENSG00000134538	SLCO1B1	70.37848	5.766547904	0.880036717	6.552621942	5.65355E-11	1.65086E-09
ENSG00000171403	KRT9	6.027399717	5.764753861	1.339977959	4.302125883	1.69167E-05	0.000168618
ENSG00000276786	None	6.015614338	5.762530708	1.321465343	4.360712705	1.29639E-05	0.000133041
ENSG00000251191	LINC00589	11.72943699	5.75203121	1.353592619	4.249455213	2.14291E-05	0.000207252
ENSG00000233272	PNPT1P2	5.952548829	5.750896226	1.328935063	4.32744713	1.50848E-05	0.000152212
ENSG00000203858	HSD3BP2	159.0344067	5.700182908	1.45821279	3.909019965	9.26713E-05	0.000749733
ENSG00000255545	B3GAT1-DT	182.7209751	5.69361595	0.811279639	7.018068338	2.24957E-12	8.049E-11
ENSG00000203492	OR2N1P	5.719892036	5.691003834	1.358211232	4.19007272	2.78865E-05	0.000261311
ENSG00000134240	HMGCS2	7031.746986	5.677548514	1.433704465	3.960054984	7.49325E-05	0.000623123
ENSG00000258616	LINC02303	11.09815299	5.670045585	1.318479198	4.300443719	1.70456E-05	0.00016985
ENSG00000196566	None	5.636830774	5.666712879	1.408579544	4.022998134	5.7462E-05	0.000492337
ENSG00000205754	SLCO1B7	176.6630827	5.645801908	1.187307978	4.755128418	1.9832E-06	2.48219E-05
ENSG00000224233	OR2J4P	10.88908661	5.639936283	1.378138392	4.092431003	4.26874E-05	0.000379713
ENSG00000226005	LINC02660	5.480092328	5.628428646	1.324925866	4.248108358	2.15583E-05	0.000208116
ENSG00000160339	FCN2	125.3026333	5.618893836	0.749852714	7.493329996	6.71478E-14	2.98065E-12
ENSG00000272480	OR13Z3P	10.7256202	5.614017934	1.350517069	4.156939638	3.22539E-05	0.000297176
ENSG00000203784	LELP1	5.367210868	5.596583928	1.347734873	4.15258523	3.2874E-05	0.000302017
ENSG00000229168	RPL19P20	5.326296919	5.580297936	1.417506687	3.936699548	8.26099E-05	0.000680232
ENSG00000167014	TERB2	37.87434989	5.579740157	0.901662344	6.188281224	6.08237E-10	1.4662E-08
ENSG00000178997	EXD1	5.249877741	5.568706651	1.496364132	3.721491668	0.000198049	0.001445448
ENSG00000091138	SLC26A3	469.5506876	5.564147637	1.075662994	5.172761047	2.3066E-07	3.49229E-06
ENSG00000137392	CLPS	5.127845233	5.534088863	1.528725717	3.620066571	0.000294527	0.002035542
ENSG00000173572	NLRP13	17.92843433	5.518697467	1.149946001	4.799092708	1.59386E-06	2.02829E-05
ENSG00000242524	OR2U2P	5.035444345	5.507338979	1.436377186	3.834187171	0.00012598	0.000974972
ENSG00000278965	None	273.8549056	5.506996236	0.754336112	7.3004542	2.86798E-13	1.16743E-11
ENSG00000240216	CPHL1P	1172.091116	5.485042949	1.507332687	3.638906657	0.000273798	0.00191048
ENSG00000238010	None	4.933368907	5.477645174	1.343166458	4.078158104	4.53939E-05	0.000399998
ENSG00000009765	IYD	153.2332418	5.476850307	1.230436426	4.451144482	8.54138E-06	9.18796E-05
ENSG00000234918	None	9.803205269	5.476249497	1.431715966	3.824955248	0.000130796	0.001008816
ENSG00000007216	SLC13A2	75.32136894	5.473434482	0.763855732	7.165534346	7.74837E-13	2.97948E-11
ENSG00000257194	None	17.26590465	5.467168416	1.164867246	4.693383247	2.68723E-06	3.2487E-05
ENSG00000197171	OR2B4P	4.793198883	5.43599043	1.357934641	4.003131128	6.25096E-05	0.000530743
ENSG00000180176	TH	4.751428727	5.426488684	1.38212437	3.9261942	8.63005E-05	0.000705705
ENSG00000197406	DIO3	178.4829149	5.417645088	1.247790625	4.341790184	1.41326E-05	0.000143603
ENSG00000229246	LINC00377	4.656831128	5.394524001	1.386831437	3.889819525	0.000100319	0.000803138
ENSG00000271034	RNPC3P1	4.639466159	5.389043734	1.454239241	3.705747709	0.000210768	0.00152606
ENSG00000176571	CNBD1	4.61763262	5.376591853	1.46902224	3.659979888	0.000252235	0.001775163
ENSG00000156006	NAT2	16.26474376	5.376396269	1.160070466	4.634542835	3.57727E-06	4.213E-05
ENSG00000132437	DDC	23.94226283	5.366222485	0.990117744	5.419782161	5.96717E-08	1.03001E-06
ENSG00000171234	UGT2B7	24.03825784	5.364309379	0.94243338	5.691977274	1.25577E-08	2.45132E-07
ENSG00000227743	None	4.52190577	5.351720225	1.414540239	3.783363722	0.000154723	0.001167409
ENSG00000230056	DDX6P1	4.481973399	5.340915759	1.448470924	3.687278544	0.000226665	0.001624044
ENSG00000232355	None	4.468141203	5.328856759	1.417111696	3.760364672	0.000169666	0.001267569
ENSG00000203952	CCDC160	23.32877787	5.327578195	0.989046938	5.386577713	7.18119E-08	1.22172E-06
ENSG00000238125	SLC9A3P2	4.442667228	5.327481527	1.664436877	3.200771143	0.001370603	0.007535604
ENSG00000273238	TMEM271	4.39166156	5.316498457	1.47411365	3.606572979	0.000310268	0.002128197
ENSG00000119888	EPCAM	553.7412961	5.315145407	0.702931304	7.561400917	3.98751E-14	1.84176E-12
ENSG00000213759	UGT2B11	1343.943605	5.314304429	1.451383809	3.661543141	0.000250701	0.001766305
ENSG00000214128	TMEM213	152.1341753	5.306407774	0.706294327	7.513026188	5.7776E-14	2.58986E-12
ENSG00000109956	B3GAT1	1393.467905	5.306178927	0.541622895	9.796814302	1.16192E-22	1.82454E-20
ENSG00000254440	PBOV1	23.29088638	5.301218034	0.89355299	5.932740522	2.97919E-09	6.44637E-08
ENSG00000233907	LINC01761	4.351897315	5.300880724	1.36188903	3.892300039	9.92983E-05	0.000797284
ENSG00000236543	None	15.19510301	5.294493114	1.303947128	4.060358736	4.89974E-05	0.000428
ENSG00000254399	GLYATL1P4	356.2484398	5.292913716	1.181642658	4.479284563	7.48936E-06	8.17478E-05
ENSG00000084453	SLCO1A2	44.94700544	5.291244953	0.787977025	6.714973641	1.881E-11	5.86843E-10
ENSG00000196228	SULT1C3	1915.095891	5.282909077	1.838451422	2.873564682	0.00405868	0.018531734
ENSG00000198758	EPS8L3	205.7039277	5.27791498	0.711824202	7.414632663	1.21962E-13	5.16939E-12
ENSG00000229453	SPINK8	126.5002214	5.27175399	1.228239523	4.292122092	1.76974E-05	0.000175141
ENSG00000274002	None	4.269797179	5.269435213	1.330225637	3.96130932	7.45399E-05	0.000620181
ENSG00000132975	GPR12	133.58973	5.258612786	0.710745709	7.398726043	1.37497E-13	5.78177E-12
ENSG00000103460	TOX3	37.24125659	5.251738994	0.765562057	6.859978168	6.88711E-12	2.31866E-10
ENSG00000228364	SAR1AP1	4.210680285	5.249684004	1.58241775	3.31750829	0.000908242	0.0053188
ENSG00000250584	LINC01511	63.58007519	5.246788161	0.764710291	6.861144964	6.83108E-12	2.30223E-10
ENSG00000234639	None	8.306782695	5.245464069	1.649106363	3.180791844	0.001468731	0.00799114
ENSG00000155897	ADCY8	178.5606403	5.243417826	0.645426643	8.12395628	4.51228E-16	2.74836E-14
ENSG00000122145	TBX22	4.198144139	5.239390773	1.491101317	3.51377248	0.000441791	0.002887019
ENSG00000278424	None	8.23787165	5.234592592	1.281180775	4.085756432	4.39334E-05	0.000389062
ENSG00000277661	OR2W1-AS1	8.247606665	5.23342202	1.462277875	3.578951791	0.000344975	0.00233862
ENSG00000231683	KILH	4.146823998	5.232962569	1.483758538	3.526828951	0.000420568	0.002763019
ENSG00000272727	LINC02266	14.65677024	5.225829467	1.130575189	4.62227503	3.79554E-06	4.44219E-05
ENSG00000283766	None	4.14945611	5.2256087	1.474782877	3.543307141	0.000395142	0.002618094
ENSG00000182256	GABRG3	36.32149764	5.222620458	0.76312279	6.843748507	7.71473E-12	2.56483E-10
ENSG00000189058	APOD	13944.41066	5.217720582	0.715329465	7.294150234	3.0055E-13	1.21885E-11
ENSG00000124935	SCGB1D2	252.3561538	5.206523017	0.673174212	7.734287685	1.03984E-14	5.18553E-13
ENSG00000140798	ABCC12	335.3067158	5.205542557	1.644347935	3.165718427	0.001547005	0.008354349
ENSG00000232780	GAPDHP74	21.29035491	5.198966021	1.001528561	5.191031215	2.09133E-07	3.2059E-06
ENSG00000124664	SPDEF	502.0604266	5.184670771	1.170239689	4.430434911	9.40432E-06	9.96382E-05
ENSG00000179593	ALOX15B	8647.198864	5.18380724	1.073336328	4.829620597	1.36793E-06	1.77044E-05
ENSG00000130720	FIBCD1	188.8773026	5.175576639	0.736591546	7.026386149	2.11951E-12	7.61784E-11
ENSG00000115593	SMYD1	46.46661694	5.17183745	0.944622803	5.475029219	4.37439E-08	7.7606E-07
ENSG00000251027	LINC01950	7.90383327	5.170349995	1.419807762	3.64158454	0.000270965	0.001892368
ENSG00000244468	TM4SF18-AS1	1107.184406	5.154448054	1.50039969	3.435383309	0.000591716	0.003712446
ENSG00000259742	None	7.837903945	5.150560515	1.341646624	3.838984442	0.000123544	0.000959844
ENSG00000250346	EEF1GP2	7.77413457	5.149705443	1.491866974	3.451852969	0.000556751	0.003520061
ENSG00000153820	SPHKAP	7.646587902	5.126627321	1.306011266	3.925408191	8.65828E-05	0.00070747
ENSG00000134201	GSTM5	7305.124175	5.116135433	1.070680949	4.778394011	1.76701E-06	2.23085E-05
ENSG00000253992	None	3.826092089	5.114081279	1.433958493	3.566408167	0.000361908	0.002434276
ENSG00000280362	None	3.800890355	5.105094817	1.477995232	3.454067175	0.0005522	0.003499605
ENSG00000243236	GSTA9P	3.794203294	5.102129979	1.534751975	3.324400335	0.000886089	0.005205679
ENSG00000243822	RPS25P5	7.513866526	5.095468397	1.551759999	3.283670413	0.001024647	0.005897678
ENSG00000268416	None	159.2571002	5.090466924	0.643395378	7.911879844	2.53531E-15	1.39033E-13
ENSG00000156968	MPV17L	881.8774196	5.086035704	0.680490788	7.474069884	7.77518E-14	3.39935E-12
ENSG00000228420	LINC01768	3.769881768	5.085337941	1.437145862	3.538498128	0.00040241	0.002655225
ENSG00000259304	None	13.15521075	5.084587162	1.299870164	3.91161156	9.16823E-05	0.000742673
ENSG00000223677	OR2AD1P	3.720086268	5.071374384	1.407351913	3.603487044	0.000313976	0.002150458
ENSG00000187527	ATP13A5	274.5162681	5.055155624	0.68521681	7.377454184	1.61345E-13	6.73135E-12
ENSG00000249411	None	31.20382934	5.041752283	0.914227717	5.514766387	3.49244E-08	6.32244E-07
ENSG00000281655	None	3.660535301	5.041190727	1.443835006	3.491528261	0.000480266	0.003099729
ENSG00000263567	None	30.15419496	5.031643169	1.11280523	4.521584759	6.13784E-06	6.81612E-05
ENSG00000135480	KRT7	2708.606536	5.024151091	0.745157896	6.742397982	1.55794E-11	4.92796E-10
ENSG00000236909	OR2P1P	3.604740821	5.023107959	1.496785132	3.355931224	0.000790982	0.004729298
ENSG00000223553	SMPD4P1	24.68772771	5.021325473	1.069526458	4.694905335	2.6673E-06	3.22705E-05
ENSG00000203635	None	47.88054008	5.018902687	0.711717432	7.051819247	1.76594E-12	6.41201E-11
ENSG00000183571	PGPEP1L	25.87900396	5.017849788	0.795693704	6.306258	2.85862E-10	7.28139E-09
ENSG00000133124	IRS4	7.066697641	4.999906272	1.285475795	3.889537471	0.000100435	0.000803786
ENSG00000182931	WFDC10B	7.105419404	4.993398627	1.396962119	3.574469599	0.000350939	0.002374005
ENSG00000232144	PSAT1P2	7.049815271	4.99164543	1.425057921	3.502766699	0.000460453	0.002990599
ENSG00000225328	LINC01594	23.55412351	4.991399026	1.313882016	3.798970505	0.000145298	0.001106236
ENSG00000149651	SPINT4	6.979792682	4.98763034	1.428391183	3.491781803	0.00047981	0.003097414
ENSG00000225362	CT62	18.18514737	4.987232575	1.099325873	4.536628033	5.71608E-06	6.39896E-05
ENSG00000232756	DDX3ILA1	6.987378183	4.983912279	1.385575832	3.596997121	0.000321912	0.002197678
ENSG00000252621	Y_RNA	3.503060772	4.979494275	1.525075061	3.265081438	0.001094326	0.006237166
ENSG00000234115	None	3.452324599	4.968299165	1.679163245	2.958794614	0.003088449	0.014833849
ENSG00000140284	SLC27A2	481.7466607	4.956146047	0.598444562	8.281712897	1.21416E-16	7.94081E-15
ENSG00000231221	LINC01593	11.80763747	4.953067794	1.571052079	3.152707578	0.001617638	0.008675605
ENSG00000258120	KRT128P	17.50543868	4.951839472	1.231032319	4.022509724	5.75813E-05	0.000493227
ENSG00000149043	SYT8	459.6703437	4.949461913	0.776225625	6.376318626	1.81395E-10	4.79653E-09
ENSG00000183569	SERHL2	1897.255976	4.943605969	0.644907518	7.665604499	1.77991E-14	8.59419E-13
ENSG00000268949	MRPS17P1	6.73188694	4.936889997	1.398712523	3.529595908	0.000416195	0.002737594
ENSG00000249885	ARHGEF38-IT1	6.740999303	4.933415836	1.322928283	3.729163478	0.000192116	0.001410534
ENSG00000166415	WDR72	113.8865533	4.925338286	0.563114592	8.746600348	2.19877E-18	1.86084E-16
ENSG00000259702	None	3.375972179	4.924985916	1.418403118	3.472204659	0.000516203	0.003299908
ENSG00000248822	APOBEC3AP1	6.618747696	4.914529195	1.317112643	3.73128997	0.000190502	0.001399322
ENSG00000234929	None	6.590412126	4.908488423	1.359554637	3.610364961	0.000305766	0.002100935
ENSG00000201608	RNU4-42P	3.314768456	4.906616664	1.390459388	3.528773804	0.00041749	0.002745077
ENSG00000171345	KRT19	2153.842099	4.906415875	0.762076097	6.438223023	1.2088E-10	3.32015E-09
ENSG00000005981	ASB4	6.650946976	4.900236055	1.462607833	3.350341728	0.000807119	0.004812258
ENSG00000176532	PRR15	41.31050889	4.896796052	0.661574822	7.401726742	1.34425E-13	5.66751E-12
ENSG00000248131	LINC01194	3.322584769	4.893418622	1.442115603	3.393222159	0.000690756	0.004234761
ENSG00000284196	None	3.279703593	4.891696457	1.533384279	3.190130825	0.001422084	0.007778446
ENSG00000267218	None	11.31473908	4.88971793	1.563598391	3.127221131	0.001764671	0.009329345
ENSG00000279714	None	11.51044469	4.888811357	1.288632932	3.793796692	0.000148361	0.00112526
ENSG00000253743	MARK2P11	3.259351134	4.881278014	1.726473224	2.827311739	0.004694061	0.020884289
ENSG00000124116	WFDC3	88.855724	4.881196907	0.712879476	6.847155898	7.53326E-12	2.50972E-10
ENSG00000140986	RPL3L	32.89681705	4.880130293	1.001642233	4.872129122	1.10402E-06	1.46389E-05
ENSG00000135477	KRT87P	6.470555877	4.874175489	1.289339463	3.780366326	0.000156598	0.001180438
ENSG00000234522	None	3.266059975	4.873703079	1.392715077	3.499425804	0.000466261	0.003022177
ENSG00000258414	None	11.87290631	4.872134397	1.120697025	4.347414411	1.37752E-05	0.000140463
ENSG00000236212	None	3.250763603	4.869408523	1.437083596	3.388396148	0.000703026	0.00429366
ENSG00000269055	BNIP3P18	3.23676328	4.864692007	1.443441304	3.370204243	0.000751125	0.004532596
ENSG00000232505	None	3.232479741	4.863351679	1.394520875	3.487471407	0.000487611	0.003139519
ENSG00000198125	MB	99.19934435	4.862932834	0.593175156	8.198139759	2.44135E-16	1.52681E-14
ENSG00000239268	LINC03051	3.228007622	4.861981156	1.445012947	3.364662693	0.000766373	0.004610968
ENSG00000204128	C2orf72	128.6067721	4.861538048	0.51219683	9.491542632	2.2764E-21	2.88308E-19
ENSG00000214782	MS4A18	53.53157938	4.859129526	0.810645406	5.994149217	2.04553E-09	4.52741E-08
ENSG00000174808	BTC	166.024026	4.854635881	0.427413072	11.35818298	6.75347E-30	2.91275E-27
ENSG00000125798	FOXA2	3.176520683	4.845495093	1.434823753	3.377066405	0.000732634	0.00444877
ENSG00000236975	LINC02814	11.75651385	4.842495591	1.206952013	4.012169116	6.01634E-05	0.000512593
ENSG00000129514	FOXA1	317.1259555	4.837120788	1.218671923	3.9691739	7.21222E-05	0.000602233
ENSG00000185610	DBX2	3.178173439	4.834635642	1.666968203	2.900256666	0.003728572	0.017289134
ENSG00000212550	RNU1-78P	3.137486753	4.815960644	1.474903312	3.265272107	0.00109359	0.006236021
ENSG00000005187	ACSM3	1592.77525	4.807634874	0.582450644	8.254149816	1.52987E-16	9.80471E-15
ENSG00000196748	CLPSL2	3.110258654	4.806933568	1.583179011	3.036253976	0.002395375	0.0119904
ENSG00000259873	None	6.142381264	4.806480282	1.395990007	3.443062097	0.000575167	0.003620717
ENSG00000149300	C11orf52	3.107271165	4.80510457	1.412084816	3.40284416	0.000666883	0.004113792
ENSG00000214513	NOTO	6.139097534	4.802445775	1.85693553	2.58622106	0.009703468	0.03776377
ENSG00000249267	LINC00939	6.183696896	4.799347258	1.311856272	3.658439845	0.000253755	0.001784281
ENSG00000230832	SSBL4P	6.182299477	4.799310565	1.583576926	3.030677251	0.002440059	0.012185406
ENSG00000206852	RNU6-895P	3.083407713	4.797306479	1.483947828	3.232799959	0.001225834	0.006861401
ENSG00000249956	UGT2B24P	136.0589379	4.794308541	1.366106853	3.509468187	0.000449004	0.00292756
ENSG00000237810	None	3.070514862	4.79295428	1.415308467	3.386508588	0.000707881	0.00431818
ENSG00000184709	LRRC26	88.92388843	4.789969729	0.542432748	8.83053198	1.04179E-18	9.18502E-17
ENSG00000235009	LINC01883	6.042916158	4.779658992	1.466050639	3.26022776	0.001113228	0.006329153
ENSG00000112379	ARFGEF3	2349.949346	4.779086995	0.533732373	8.954088673	3.42553E-19	3.26356E-17
ENSG00000251491	OR7E28P	3.004234601	4.753526305	1.517090456	3.133317653	0.001728423	0.009165034
ENSG00000231482	None	5.972176068	4.751250332	1.290153671	3.682701092	0.000230776	0.001647012
ENSG00000212280	RNA5SP256	3.00183108	4.75070307	1.399310954	3.395030286	0.00068621	0.004212557
ENSG00000227177	AIMP1P2	2.983547218	4.744873453	1.405193259	3.376669666	0.000733691	0.004453496
ENSG00000161634	DCD	2602.235194	4.7447474	1.229070523	3.860435436	0.000113185	0.000891735
ENSG00000269779	None	15.35734642	4.743382441	1.15935737	4.09138939	4.28796E-05	0.000381317
ENSG00000268717	BNIP3P33	2.978886521	4.743123458	1.410687146	3.362278781	0.00077302	0.004641031
ENSG00000259231	None	10.4423277	4.737943713	1.239910021	3.821199631	0.000132804	0.001022082
ENSG00000187957	DNER	302.3295176	4.723747522	0.603084317	7.832648586	4.77698E-15	2.52004E-13
ENSG00000133328	PLAAT2	53.18309387	4.719947021	0.844586359	5.588471766	2.29077E-08	4.29566E-07
ENSG00000259033	None	10.43608922	4.719462058	1.131032481	4.172702499	3.01008E-05	0.000279842
ENSG00000232746	LINC02022	15.3516396	4.714148627	0.994973714	4.737962983	2.15877E-06	2.68091E-05
ENSG00000254119	LINC02842	10.25186489	4.710945189	1.211852201	3.887392526	0.000101327	0.000809904
ENSG00000269138	ZNF209P	25.49542844	4.706902836	0.801901916	5.869674012	4.36653E-09	9.19275E-08
ENSG00000205002	AARD	31.23376465	4.706016157	0.76550991	6.147557459	7.86852E-10	1.86023E-08
ENSG00000268751	SCGB1B2P	76.42214911	4.698539327	0.84108665	5.586272625	2.31995E-08	4.33764E-07
ENSG00000215030	RPL13P12	172.0507522	4.697153049	0.877931335	5.350251055	8.78323E-08	1.46657E-06
ENSG00000259791	None	24.54568715	4.687918806	0.930773001	5.036586579	4.73907E-07	6.7283E-06
ENSG00000170419	VSTM2A	19.59388188	4.687436977	1.071809642	4.373385716	1.22334E-05	0.000126112
ENSG00000263257	None	20.65908425	4.687349338	0.90432973	5.18323039	2.18075E-07	3.33019E-06
ENSG00000259479	SORD2P	178.9968405	4.686620298	0.722056537	6.490655594	8.54636E-11	2.42028E-09
ENSG00000120251	GRIA2	87.39673649	4.685163956	0.55394181	8.457863025	2.72322E-17	1.96195E-15
ENSG00000255774	LINC02747	5.592025921	4.668465441	1.439318802	3.243524253	0.001180608	0.006656116
ENSG00000241808	RPS15AP34	2.791366751	4.657320122	1.469752066	3.168779434	0.001530805	0.008275267
ENSG00000204703	OR2B3	2.783341408	4.653762513	1.46819829	3.169709803	0.001525913	0.00825721
ENSG00000164266	SPINK1	5.524887232	4.65153901	1.330201845	3.496867058	0.000470756	0.003048217
ENSG00000255542	SLC1A2-AS2	5.614134809	4.648221284	1.407983003	3.301333378	0.000962265	0.005592069
ENSG00000181019	NQO1	2091.941418	4.647353908	0.437046156	10.63355402	2.08031E-26	5.48719E-24
ENSG00000259685	IDH2-DT	2.760774006	4.646254634	1.445574603	3.214123037	0.001308436	0.007243719
ENSG00000213226	None	24.06197418	4.644538944	0.882280023	5.264245841	1.40766E-07	2.26332E-06
ENSG00000162670	BRINP3	75.21030583	4.642621173	0.679419626	6.833216164	8.30317E-12	2.749E-10
ENSG00000204704	OR2W1	2.751036771	4.625353994	1.616348265	2.8616073	0.004214988	0.019119607
ENSG00000105707	HPN	362.8017896	4.625034406	0.599193595	7.718764758	1.17462E-14	5.8033E-13
ENSG00000254811	None	38.62227452	4.623945903	0.702370843	6.583339772	4.59996E-11	1.36316E-09
ENSG00000270182	None	5.413113243	4.618495299	1.367054805	3.378427318	0.000729017	0.004431868
ENSG00000183434	TFDP3	5.44484398	4.616143008	1.423605403	3.242571992	0.00118456	0.006673684
ENSG00000187048	CYP4A11	62.0564788	4.615115963	0.538462609	8.5709126	1.02668E-17	7.95329E-16
